dataset-comment "Conformance conversion: Mon Dec 07 09:59:10 2009"
dataset-description "Sudden Expansion 500 "
dataset-orientation "Sudden Expansion"
dataset-reynolds 0500
dataset-laminar-turbulent ""
dataset-experiment 1
dataset-code 243
dataset-experiment 1
geometry-flow-z-direction +1
geometry-throat-outlet-expansion-type "sudden"
geometry-sudden-z 0.0
fluid-density 1056
fluid-viscosity 0.0035
plot-profile-axial-velocity-at-z -0.06400 0
100
-7.3371710E-003  0.00000E+000
-7.1527320E-003  0.00000E+000
-6.9682940E-003  0.00000E+000
-6.7838560E-003  0.00000E+000
-6.5994170E-003  0.00000E+000
-6.4149790E-003  0.00000E+000
-6.2305400E-003  0.00000E+000
-6.0461020E-003  0.00000E+000
-5.8616630E-003  4.33674E-003
-5.6772250E-003  9.12771E-003
-5.4927870E-003  1.46127E-002
-5.3083480E-003  1.94092E-002
-5.1239100E-003  2.43296E-002
-4.9394710E-003  2.87821E-002
-4.7550330E-003  3.31538E-002
-4.5705950E-003  3.75693E-002
-4.3861560E-003  4.13607E-002
-4.2017180E-003  4.54488E-002
-4.0172790E-003  4.93512E-002
-3.8328410E-003  5.26048E-002
-3.6484030E-003  5.60954E-002
-3.4639640E-003  5.96580E-002
-3.2795260E-003  6.24580E-002
-3.0950870E-003  6.50765E-002
-2.9106490E-003  6.81499E-002
-2.7262110E-003  7.09753E-002
-2.5417720E-003  7.31361E-002
-2.3573340E-003  7.49763E-002
-2.1728950E-003  7.70419E-002
-1.9884570E-003  7.92404E-002
-1.8040190E-003  8.12280E-002
-1.6195800E-003  8.28729E-002
-1.4351420E-003  8.40979E-002
-1.2507030E-003  8.50118E-002
-1.0662650E-003  8.58579E-002
-8.8182600E-004  8.66663E-002
-6.9738800E-004  8.73768E-002
-5.1295000E-004  8.79550E-002
-3.2851100E-004  8.83017E-002
-1.4407300E-004  8.85127E-002
4.0366000E-005  8.86073E-002
2.2480400E-004  8.84764E-002
4.0924200E-004  8.81846E-002
5.9368100E-004  8.77495E-002
7.7811900E-004  8.71185E-002
9.6255800E-004  8.64245E-002
1.1469960E-003  8.56592E-002
1.3314340E-003  8.47727E-002
1.5158730E-003  8.36765E-002
1.7003110E-003  8.22638E-002
1.8847500E-003  8.04257E-002
2.0691880E-003  7.83354E-002
2.2536260E-003  7.61465E-002
2.4380650E-003  7.41974E-002
2.6225030E-003  7.23770E-002
2.8069420E-003  6.99271E-002
2.9913800E-003  6.69160E-002
3.1758180E-003  6.40159E-002
3.3602570E-003  6.15132E-002
3.5446950E-003  5.83898E-002
3.7291340E-003  5.46108E-002
3.9135720E-003  5.12434E-002
4.0980110E-003  4.78371E-002
4.2824490E-003  4.37600E-002
4.4668870E-003  3.98994E-002
4.6513260E-003  3.58566E-002
4.8357640E-003  3.13684E-002
5.0202030E-003  2.71386E-002
5.2046410E-003  2.23853E-002
5.3890790E-003  1.75361E-002
5.5735180E-003  1.24745E-002
5.7579560E-003  7.04772E-003
5.9423950E-003  2.74318E-003
6.1268330E-003  0.00000E+000
6.3112710E-003  0.00000E+000
6.4957100E-003  0.00000E+000
6.6801480E-003  0.00000E+000
6.8645870E-003  0.00000E+000
7.0490250E-003  0.00000E+000
7.2334630E-003  0.00000E+000
7.4179020E-003  0.00000E+000
7.6023400E-003  0.00000E+000
7.7867790E-003  0.00000E+000
7.9712170E-003  0.00000E+000
8.1556550E-003  0.00000E+000
8.3400940E-003  0.00000E+000
8.5245320E-003  0.00000E+000
8.7089710E-003  0.00000E+000
8.8934090E-003  0.00000E+000
9.0778480E-003  0.00000E+000
9.2622860E-003  0.00000E+000
9.4467240E-003  0.00000E+000
9.6311630E-003  0.00000E+000
9.8156010E-003  0.00000E+000
1.0000040E-002  0.00000E+000
1.0184478E-002  0.00000E+000
1.0368916E-002  0.00000E+000
1.0553355E-002  0.00000E+000
1.0737793E-002  0.00000E+000
1.0922232E-002  0.00000E+000
plot-profile-axial-velocity-at-z -0.04800 0
100
-1.0297800E-002  0.00000E+000
-1.0121976E-002  0.00000E+000
-9.9461520E-003  0.00000E+000
-9.7703280E-003  0.00000E+000
-9.5945040E-003  0.00000E+000
-9.4186800E-003  0.00000E+000
-9.2428560E-003  0.00000E+000
-9.0670320E-003  0.00000E+000
-8.8912080E-003  0.00000E+000
-8.7153840E-003  0.00000E+000
-8.5395600E-003  0.00000E+000
-8.3637360E-003  0.00000E+000
-8.1879120E-003  0.00000E+000
-8.0120880E-003  0.00000E+000
-7.8362640E-003  0.00000E+000
-7.6604400E-003  0.00000E+000
-7.4846160E-003  0.00000E+000
-7.3087920E-003  0.00000E+000
-7.1329680E-003  0.00000E+000
-6.9571440E-003  0.00000E+000
-6.7813200E-003  0.00000E+000
-6.6054960E-003  0.00000E+000
-6.4296720E-003  0.00000E+000
-6.2538480E-003  0.00000E+000
-6.0780240E-003  0.00000E+000
-5.9022000E-003  0.00000E+000
-5.7263760E-003  0.00000E+000
-5.5505520E-003  0.00000E+000
-5.3747280E-003  0.00000E+000
-5.1989040E-003  0.00000E+000
-5.0230800E-003  0.00000E+000
-4.8472560E-003  0.00000E+000
-4.6714320E-003  0.00000E+000
-4.4956080E-003  0.00000E+000
-4.3197840E-003  0.00000E+000
-4.1439600E-003  0.00000E+000
-3.9681360E-003  0.00000E+000
-3.7923120E-003  0.00000E+000
-3.6164880E-003  0.00000E+000
-3.4406640E-003  0.00000E+000
-3.2648400E-003  6.94780E-002
-3.0890160E-003  9.65919E-002
